1;versionCode;3;3;3;;parametresGeneraux;;False;parameters
70;initialisationAuto;FALSE;TRUE;TRUE;Initialisation with a steady run;;;True;parameters
71;evenement;TRUE;TRUE;TRUE;Mode;;;True;parameters
72;presenceTraceurs;FALSE;FALSE;FALSE;Activation of the water quality module;parametresTraceur;;True;tracers
73;nbTraceur;1;1;1;Number of constituents;parametresTraceur;;True;tracers
74;convectionTraceurs;true ;true ;true ;;parametresTraceur;parametresConvectionDiffusion;False;tracers
75;optionConvection;2;2;2;Convection method;parametresTraceur;parametresConvectionDiffusion;True;tracers
76;ordreSchemaConvec;0;0;0;Scheme order;parametresTraceur;parametresConvectionDiffusion;True;tracers
77;paramW;0;0;0;Parameter W;parametresTraceur;parametresConvectionDiffusion;True;tracers
78;LimitPente;FALSE;FALSE;FALSE;Slope limiter;parametresTraceur;parametresConvectionDiffusion;True;tracers
79;diffusionTraceurs;false;false;false;;parametresTraceur;parametresConvectionDiffusion;False;tracers
80;optionCalculDiffusion;1;1;1;Diffusion method;parametresTraceur;parametresConvectionDiffusion;True;tracers
81;coeffDiffusion1;0;0;0;;parametresTraceur;parametresConvectionDiffusion;False;tracers
82;coeffDiffusion2;0;0;0;;parametresTraceur;parametresConvectionDiffusion;True;tracers
83;modeleQualiteEau;1;1;1;Water quality module;parametresTraceur;parametresNumeriquesQualiteEau;True;tracers
84;fichParamPhysiqueTracer;mascaret.phy;mascaret.phy;mascaret.phy;;parametresTraceur;parametresNumeriquesQualiteEau;False;tracers
85;fichMeteoTracer;mascaret.met;mascaret.met;mascaret.met;;parametresTraceur;parametresNumeriquesQualiteEau;False;tracers
86;frequenceCouplHydroTracer;1;1;1;Frequency for coupling ;parametresTraceur;parametresNumeriquesQualiteEau;True;tracers
87;fichListTracer;mascaret.tra_lis;mascaret.tra_lis;mascaret.tra_lis;;parametresTraceur;parametresImpressionTraceur;False;tracers
88;concentInit;FALSE;FALSE;FALSE;Initial Concentration;parametresTraceur;parametresImpressionTraceur;True;tracers
89;loiTracer;FALSE;FALSE;FALSE;Tracer law used;parametresTraceur;parametresImpressionTraceur;True;tracers
90;concentrations;TRUE;TRUE;TRUE;Concentrations;parametresTraceur;parametresImpressionTraceur;True;tracers
91;bilanTracer;TRUE;TRUE;TRUE;Constituants balance;parametresTraceur;parametresImpressionTraceur;True;tracers
92;fichResultTracer;mascaret.tra_opt;mascaret.tra_opt;mascaret.tra_opt;;parametresTraceur;parametresImpressionTraceur;False;tracers
93;formatFichResultat;2;2;2;;parametresTraceur;parametresImpressionTraceur;False;tracers
94;typeCondLimTracer;1 2;1 2;1 2;;parametresTraceur;parametresConditionsLimitesTraceur;False;tracers
95;numLoiCondLimTracer;1 1;1 1;1 1;;parametresTraceur;parametresConditionsLimitesTraceur;False;tracers
96;presenceConcInit;FALSE;FALSE;FALSE;Presence of initial conditions;parametresTraceur;parametresConcentrationsInitialesTraceur;True;tracers
97;modeEntree;1;1;1;;parametresTraceur;parametresConcentrationsInitialesTraceur;False;tracers
98;fichConcInit;mascaret.conc;mascaret.conc;mascaret.conc;;parametresTraceur;parametresConcentrationsInitialesTraceur;False;tracers
99;nbPts;0;0;0;;parametresTraceur;parametresConcentrationsInitialesTraceur;False;tracers
100;fichmeteo;FALSE;FALSE;FALSE;;;;False;tracers
